ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
W_TST_0818	307.61312515	0.00000000	245.85000000	0.00000000	-0.79214985	0.61032664	0.00000000	-0.91247749	-0.40912690	0.00000000	61.76312515
W_TST_0817	307.61312515	0.00000000	45.82000000	0.00000000	-0.79214985	0.61032664	0.00000000	0.71715392	0.69691481	0.00000000	98.20687486
W_TST_0816	307.61312515	0.00000000	64.98000000	0.00000000	-0.79214985	0.61032664	0.00000000	0.90616021	0.42293460	0.00000000	117.36687486
W_TST_0815	307.61312515	0.00000000	263.27000000	0.00000000	-0.79214985	0.61032664	0.00000000	-0.99310942	-0.11719074	0.00000000	44.34312515
W_TST_0814	307.61312515	0.00000000	229.88000000	0.00000000	-0.79214985	0.61032664	0.00000000	-0.76469651	-0.64439060	0.00000000	77.73312515
W_TST_0813	307.61312515	0.00000000	32.75000000	0.00000000	-0.79214985	0.61032664	0.00000000	0.54097447	0.84103901	0.00000000	85.13687486
W_TST_0812	307.61312515	0.00000000	255.43000000	0.00000000	-0.79214985	0.61032664	0.00000000	-0.96784102	-0.25156263	0.00000000	52.18312515
W_TST_0811	307.61312515	0.00000000	94.88000000	0.00000000	-0.79214985	0.61032664	0.00000000	0.99637505	-0.08506913	0.00000000	147.26687486
W_TST_0810	307.61312515	0.00000000	169.78000000	0.00000000	-0.79214985	0.61032664	0.00000000	0.17742828	-0.98413373	0.00000000	137.83312515
W_TST_0809	307.61312515	0.00000000	343.11000000	0.00000000	-0.79214985	0.61032664	0.00000000	-0.29053519	0.95686431	0.00000000	35.49687485
W_TST_0808	307.61312515	0.00000000	177.04000000	0.00000000	-0.79214985	0.61032664	0.00000000	0.05163877	-0.99866583	0.00000000	130.57312515
W_TST_0807	307.61312515	0.00000000	216.82000000	0.00000000	-0.79214985	0.61032664	0.00000000	-0.59930307	-0.80052222	0.00000000	90.79312515
W_TST_0806	307.61312515	0.00000000	267.33000000	0.00000000	-0.79214985	0.61032664	0.00000000	-0.99891440	-0.04658343	0.00000000	40.28312515
W_TST_0805	307.61312515	0.00000000	223.20000000	0.00000000	-0.79214985	0.61032664	0.00000000	-0.68454711	-0.72896863	0.00000000	84.41312515
W_TST_0804	307.61312515	0.00000000	47.27000000	0.00000000	-0.79214985	0.61032664	0.00000000	0.73455941	0.67854438	0.00000000	99.65687486
W_TST_0803	307.61312515	0.00000000	239.75000000	0.00000000	-0.79214985	0.61032664	0.00000000	-0.86383551	-0.50377398	0.00000000	67.86312515
W_TST_0802	307.61312515	0.00000000	257.17000000	0.00000000	-0.79214985	0.61032664	0.00000000	-0.97503322	-0.22205905	0.00000000	50.44312515
W_TST_0801	307.61312515	0.00000000	266.46000000	0.00000000	-0.79214985	0.61032664	0.00000000	-0.99809194	-0.06174535	0.00000000	41.15312515
W_TST_0800	307.61312515	0.00000000	189.82000000	0.00000000	-0.79214985	0.61032664	0.00000000	-0.17055346	-0.98534842	0.00000000	117.79312515
W_TST_0799	307.61312515	0.00000000	189.24000000	0.00000000	-0.79214985	0.61032664	0.00000000	-0.16057030	-0.98702441	0.00000000	118.37312515
W_TST_0798	307.61312515	0.00000000	175.59000000	0.00000000	-0.79214985	0.61032664	0.00000000	0.07689305	-0.99703935	0.00000000	132.02312515
W_TST_0797	307.61312515	0.00000000	61.20000000	0.00000000	-0.79214985	0.61032664	0.00000000	0.87630668	0.48175367	0.00000000	113.58687486
W_TST_0796	307.61312515	0.00000000	54.82000000	0.00000000	-0.79214985	0.61032664	0.00000000	0.81734606	0.57614704	0.00000000	107.20687486
W_TST_0795	307.61312515	0.00000000	61.78000000	0.00000000	-0.79214985	0.61032664	0.00000000	0.88113845	0.47285837	0.00000000	114.16687486
W_TST_0794	307.61312515	0.00000000	301.01000000	0.00000000	-0.79214985	0.61032664	0.00000000	-0.85707740	0.51518767	0.00000000	6.60312515
