D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
206.79284080	0.00000000	58.40154106	0.00000000	-0.45076601	-0.89264215	0.00000000	0.85174103	0.52396300	0.00000000	148.39129974
206.79284080	0.00000000	79.26889974	0.00000000	-0.45076601	-0.89264215	0.00000000	0.98251187	0.18619995	0.00000000	127.52394106
206.79284080	0.00000000	65.13685349	0.00000000	-0.45076601	-0.89264215	0.00000000	0.90731464	0.42045230	0.00000000	141.65598730
206.79284080	0.00000000	231.33331404	0.00000000	-0.45076601	-0.89264215	0.00000000	-0.78079382	-0.62478878	0.00000000	24.54047324
206.79284080	0.00000000	231.40132033	0.00000000	-0.45076601	-0.89264215	0.00000000	-0.78153485	-0.62386159	0.00000000	24.60847953
206.79284080	0.00000000	230.85778326	0.00000000	-0.45076601	-0.89264215	0.00000000	-0.77558150	-0.63124744	0.00000000	24.06494246
206.79284080	0.00000000	187.59202444	0.00000000	-0.45076601	-0.89264215	0.00000000	-0.13211841	-0.99123394	0.00000000	19.20081635
206.79284080	0.00000000	216.46986742	0.00000000	-0.45076601	-0.89264215	0.00000000	-0.59439995	-0.80416957	0.00000000	9.67702662
206.79284080	0.00000000	206.60560847	0.00000000	-0.45076601	-0.89264215	0.00000000	-0.44784661	-0.89411040	0.00000000	0.18723233
206.79284080	0.00000000	119.28828359	0.00000000	-0.45076601	-0.89264215	0.00000000	0.87216933	-0.48920411	0.00000000	87.50455721
206.79284080	0.00000000	249.58439203	0.00000000	-0.45076601	-0.89264215	0.00000000	-0.93718700	-0.34882736	0.00000000	42.79155123
206.79284080	0.00000000	224.49699338	0.00000000	-0.45076601	-0.89264215	0.00000000	-0.70087184	-0.71328723	0.00000000	17.70415258
206.79284080	0.00000000	75.90454332	0.00000000	-0.45076601	-0.89264215	0.00000000	0.96989133	0.24353810	0.00000000	130.88829747
206.79284080	0.00000000	245.26067675	0.00000000	-0.45076601	-0.89264215	0.00000000	-0.90822117	-0.41849050	0.00000000	38.46783595
206.79284080	0.00000000	73.44614449	0.00000000	-0.45076601	-0.89264215	0.00000000	0.95855235	0.28491647	0.00000000	133.34669630
206.79284080	0.00000000	256.65443004	0.00000000	-0.45076601	-0.89264215	0.00000000	-0.97299560	-0.23082368	0.00000000	49.86158924
206.79284080	0.00000000	81.75695785	0.00000000	-0.45076601	-0.89264215	0.00000000	0.98966880	0.14337244	0.00000000	125.03588295
206.79284080	0.00000000	238.07498795	0.00000000	-0.45076601	-0.89264215	0.00000000	-0.84874092	-0.52880890	0.00000000	31.28214715
206.79284080	0.00000000	240.73150104	0.00000000	-0.45076601	-0.89264215	0.00000000	-0.87233820	-0.48890292	0.00000000	33.93866024
206.79284080	0.00000000	225.02318023	0.00000000	-0.45076601	-0.89264215	0.00000000	-0.70739280	-0.70682065	0.00000000	18.23033944
206.79284080	0.00000000	270.79443704	0.00000000	-0.45076601	-0.89264215	0.00000000	-0.99990387	0.01386510	0.00000000	64.00159624
