ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
W_TST_0794	230.30154446	35.45595439	230.30154446	69.97012681	-0.62673743	-0.52029890	-0.58007694	-0.26353297	-0.21877729	-0.93951417	34.51417242
W_TST_0793	230.30154446	35.45595439	230.30154446	81.92903622	-0.62673743	-0.52029890	-0.58007694	-0.10802572	-0.08967977	-0.99009494	46.47308183
W_TST_0792	230.30154446	35.45595439	230.30154446	24.85698617	-0.62673743	-0.52029890	-0.58007694	-0.69813788	-0.57957345	-0.42035475	10.59896823
W_TST_0791	230.30154446	35.45595439	230.30154446	68.30570033	-0.62673743	-0.52029890	-0.58007694	-0.28441823	-0.23611561	-0.92916935	32.84974593
W_TST_0790	230.30154446	35.45595439	230.30154446	59.85644156	-0.62673743	-0.52029890	-0.58007694	-0.38637672	-0.32075854	-0.86476990	24.40048717
W_TST_0789	230.30154446	35.45595439	230.30154446	68.42725305	-0.62673743	-0.52029890	-0.58007694	-0.28290090	-0.23485597	-0.92995148	32.97129866
W_TST_0788	230.30154446	35.45595439	230.30154446	34.24107533	-0.62673743	-0.52029890	-0.58007694	-0.63605946	-0.52803778	-0.56267617	1.21487906
W_TST_0787	230.30154446	35.45595439	230.30154446	87.62307158	-0.62673743	-0.52029890	-0.58007694	-0.03191027	-0.02649097	-0.99913961	52.16711719
W_TST_0786	230.30154446	35.45595439	230.30154446	89.26011314	-0.62673743	-0.52029890	-0.58007694	-0.00993556	-0.00824821	-0.99991662	53.80415875
W_TST_0785	230.30154446	35.45595439	230.30154446	86.21375249	-0.62673743	-0.52029890	-0.58007694	-0.05080797	-0.04217928	-0.99781735	50.75779810
W_TST_0784	230.30154446	35.45595439	230.30154446	59.84094882	-0.62673743	-0.52029890	-0.58007694	-0.38655662	-0.32090789	-0.86463409	24.38499443
W_TST_0783	230.30154446	35.45595439	230.30154446	42.47582023	-0.62673743	-0.52029890	-0.58007694	-0.56749287	-0.47111582	-0.67527900	7.01986584
W_TST_0782	230.30154446	35.45595439	230.30154446	85.48263842	-0.62673743	-0.52029890	-0.58007694	-0.06060017	-0.05030847	-0.99689351	50.02668403
W_TST_0781	230.30154446	35.45595439	230.30154446	51.06244514	-0.62673743	-0.52029890	-0.58007694	-0.48355769	-0.40143531	-0.77783138	15.60649075
W_TST_0780	230.30154446	35.45595439	230.30154446	68.73975236	-0.62673743	-0.52029890	-0.58007694	-0.27899416	-0.23161271	-0.93194303	33.28379796
W_TST_0779	230.30154446	35.45595439	230.30154446	85.40806950	-0.62673743	-0.52029890	-0.58007694	-0.06159838	-0.05113716	-0.99679016	49.95211511
W_TST_0778	230.30154446	35.45595439	230.30154446	22.46754132	-0.62673743	-0.52029890	-0.58007694	-0.71101510	-0.59026373	-0.38215998	12.98841308
W_TST_0777	230.30154446	35.45595439	230.30154446	53.06624213	-0.62673743	-0.52029890	-0.58007694	-0.46233583	-0.38381755	-0.79933076	17.61028774
W_TST_0776	230.30154446	35.45595439	230.30154446	39.10694837	-0.62673743	-0.52029890	-0.58007694	-0.59704427	-0.49564852	-0.63076992	3.65099398
W_TST_0775	230.30154446	35.45595439	230.30154446	61.04472500	-0.62673743	-0.52029890	-0.58007694	-0.37249524	-0.30923454	-0.87499788	25.58877061
W_TST_0774	230.30154446	35.45595439	230.30154446	68.63134047	-0.62673743	-0.52029890	-0.58007694	-0.28035043	-0.23273864	-0.93125526	33.17538607
