ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
W_TST_0305	57.38345062	0.00000000	205.58387138	0.00000000	0.84229674	0.53901410	0.00000000	-0.43183187	-0.90195412	0.00000000	148.20042076
W_TST_0304	57.38345062	0.00000000	149.40558365	0.00000000	0.84229674	0.53901410	0.00000000	0.50895753	-0.86079163	0.00000000	92.02213303
W_TST_0303	57.38345062	0.00000000	159.99135160	0.00000000	0.84229674	0.53901410	0.00000000	0.34216198	-0.93964098	0.00000000	102.60790098
W_TST_0302	57.38345062	0.00000000	126.32072115	0.00000000	0.84229674	0.53901410	0.00000000	0.80571413	-0.59230461	0.00000000	68.93727053
W_TST_0301	57.38345062	0.00000000	66.06653832	0.00000000	0.84229674	0.53901410	0.00000000	0.91401719	0.40567546	0.00000000	8.68308770
W_TST_0300	57.38345062	0.00000000	96.45840565	0.00000000	0.84229674	0.53901410	0.00000000	0.99365377	-0.11248189	0.00000000	39.07495503
W_TST_0299	57.38345062	0.00000000	113.99958894	0.00000000	0.84229674	0.53901410	0.00000000	0.91354838	-0.40673009	0.00000000	56.61613832
W_TST_0298	57.38345062	0.00000000	117.66883662	0.00000000	0.84229674	0.53901410	0.00000000	0.88564632	-0.46436041	0.00000000	60.28538600
W_TST_0297	57.38345062	0.00000000	214.63848069	0.00000000	0.84229674	0.53901410	0.00000000	-0.56839645	-0.82275481	0.00000000	157.25503007
W_TST_0296	57.38345062	0.00000000	15.61382931	0.00000000	0.84229674	0.53901410	0.00000000	0.26915229	0.96309763	0.00000000	41.76962131
W_TST_0295	57.38345062	0.00000000	29.75062981	0.00000000	0.84229674	0.53901410	0.00000000	0.49622605	0.86819336	0.00000000	27.63282081
W_TST_0294	57.38345062	0.00000000	33.82564310	0.00000000	0.84229674	0.53901410	0.00000000	0.55666747	0.83073541	0.00000000	23.55780752
W_TST_0293	57.38345062	0.00000000	47.69682803	0.00000000	0.84229674	0.53901410	0.00000000	0.73959384	0.67305346	0.00000000	9.68662259
W_TST_0292	57.38345062	0.00000000	33.75092135	0.00000000	0.84229674	0.53901410	0.00000000	0.55558360	0.83146068	0.00000000	23.63252927
W_TST_0291	57.38345062	0.00000000	38.86352363	0.00000000	0.84229674	0.53901410	0.00000000	0.62746748	0.77864277	0.00000000	18.51992699
W_TST_0290	57.38345062	0.00000000	42.06926300	0.00000000	0.84229674	0.53901410	0.00000000	0.67002848	0.74233539	0.00000000	15.31418762
W_TST_0289	57.38345062	0.00000000	243.01159544	0.00000000	0.84229674	0.53901410	0.00000000	-0.89109838	-0.45381017	0.00000000	174.37185519
W_TST_0288	57.38345062	0.00000000	30.83283940	0.00000000	0.84229674	0.53901410	0.00000000	0.51253510	0.85866628	0.00000000	26.55061122
W_TST_0287	57.38345062	0.00000000	27.70353122	0.00000000	0.84229674	0.53901410	0.00000000	0.46489661	0.88536498	0.00000000	29.67991940
W_TST_0286	57.38345062	0.00000000	28.32984307	0.00000000	0.84229674	0.53901410	0.00000000	0.47454675	0.88023030	0.00000000	29.05360755
W_TST_0285	57.38345062	0.00000000	34.01768621	0.00000000	0.84229674	0.53901410	0.00000000	0.55944879	0.82886492	0.00000000	23.36576441
