ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d	MSFT d
W_TST_0243	241.07429028	64.01434116	241.07429028	67.74889865	-0.38348637	-0.21192042	-0.89890374	-0.33142686	-0.18315154	-0.92553323	3.73455749	13.94691966
W_TST_0244	241.07429028	64.01434116	241.07429028	67.74080193	-0.38348637	-0.21192042	-0.89890374	-0.33154133	-0.18321480	-0.92547971	3.72646077	13.88650988
W_TST_0245	241.07429028	64.01434116	241.07429028	64.38280894	-0.38348637	-0.21192042	-0.89890374	-0.37841882	-0.20912002	-0.90170284	0.36846779	0.13576851
W_TST_0246	241.07429028	64.01434116	241.07429028	62.74348690	-0.38348637	-0.21192042	-0.89890374	-0.40084149	-0.22151112	-0.88896509	1.27085425	1.61507053
W_TST_0247	241.07429028	64.01434116	241.07429028	65.64666769	-0.38348637	-0.21192042	-0.89890374	-0.36091931	-0.19944952	-0.91101983	1.63232653	2.66448991
W_TST_0248	241.07429028	64.01434116	241.07429028	75.80306943	-0.38348637	-0.21192042	-0.89890374	-0.21465924	-0.11862397	-0.96945849	11.78872828	138.97411437
W_TST_0249	241.07429028	64.01434116	241.07429028	66.62573562	-0.38348637	-0.21192042	-0.89890374	-0.34724189	-0.19189117	-0.91793292	2.61139447	6.81938107
W_TST_0250	241.07429028	64.01434116	241.07429028	57.18573183	-0.38348637	-0.21192042	-0.89890374	-0.47431200	-0.26211205	-0.84043168	6.82860932	46.62990527
W_TST_0251	241.07429028	64.01434116	241.07429028	62.73322729	-0.38348637	-0.21192042	-0.89890374	-0.40098080	-0.22158811	-0.88888307	1.28111386	1.64125273
W_TST_0252	241.07429028	64.01434116	241.07429028	61.09152238	-0.38348637	-0.21192042	-0.89890374	-0.42310511	-0.23381434	-0.87539301	2.92281877	8.54286957
W_TST_0253	241.07429028	64.01434116	241.07429028	64.29326445	-0.38348637	-0.21192042	-0.89890374	-0.37965178	-0.20980137	-0.90102604	0.27892329	0.07779820
W_TST_0254	241.07429028	64.01434116	241.07429028	64.72609151	-0.38348637	-0.21192042	-0.89890374	-0.37368355	-0.20650324	-0.90427707	0.71175036	0.50658857
W_TST_0255	241.07429028	64.01434116	241.07429028	66.80921204	-0.38348637	-0.21192042	-0.89890374	-0.34466736	-0.19046844	-0.91919867	2.79487088	7.81130324
W_TST_0256	241.07429028	64.01434116	241.07429028	64.65862848	-0.38348637	-0.21192042	-0.89890374	-0.37461521	-0.20701808	-0.90377373	0.64428733	0.41510616
W_TST_0257	241.07429028	64.01434116	241.07429028	63.87095722	-0.38348637	-0.21192042	-0.89890374	-0.38545406	-0.21300780	-0.89780446	0.14338394	0.02055895
W_TST_0258	241.07429028	64.01434116	241.07429028	63.77394250	-0.38348637	-0.21192042	-0.89890374	-0.38678405	-0.21374277	-0.89705748	0.24039866	0.05779152
W_TST_0259	241.07429028	64.01434116	241.07429028	58.97097313	-0.38348637	-0.21192042	-0.89890374	-0.45116585	-0.24932114	-0.85690627	5.04336802	25.43556100
W_TST_0260	241.07429028	64.01434116	241.07429028	68.01235055	-0.38348637	-0.21192042	-0.89890374	-0.32769858	-0.18109124	-0.92726458	3.99800940	15.98407913
W_TST_0261	241.07429028	64.01434116	241.07429028	55.94913764	-0.38348637	-0.21192042	-0.89890374	-0.49007618	-0.27082358	-0.82854084	8.06520352	65.04750780
W_TST_0262	241.07429028	64.01434116	241.07429028	56.18063402	-0.38348637	-0.21192042	-0.89890374	-0.48714220	-0.26920221	-0.83079639	7.83370713	61.36696746
W_TST_0263	241.07429028	64.01434116	241.07429028	67.96882526	-0.38348637	-0.21192042	-0.89890374	-0.32831501	-0.18143189	-0.92697989	3.95448411	15.63794455
