ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d	MSFT d
W_TST_0210	235.61093113	1.75012834	235.61093113	3.50086850	-0.82483632	-0.56454610	-0.03054075	-0.82368130	-0.56375557	-0.06106367	1.75074016	3.06509112
W_TST_0211	235.61093113	1.75012834	235.61093113	3.47991390	-0.82483632	-0.56454610	-0.03054075	-0.82369968	-0.56376814	-0.06069862	1.72978556	2.99215807
W_TST_0212	235.61093113	1.75012834	235.61093113	3.49311144	-0.82483632	-0.56454610	-0.03054075	-0.82368812	-0.56376023	-0.06092854	1.74298310	3.03799008
W_TST_0213	235.61093113	1.75012834	235.61093113	1.65546278	-0.82483632	-0.56454610	-0.03054075	-0.82487684	-0.56457383	-0.02888926	0.09466556	0.00896157
W_TST_0214	235.61093113	1.75012834	235.61093113	1.69895330	-0.82483632	-0.56454610	-0.03054075	-0.82485850	-0.56456129	-0.02964798	0.05117504	0.00261888
W_TST_0215	235.61093113	1.75012834	235.61093113	2.28426728	-0.82483632	-0.56454610	-0.03054075	-0.82456553	-0.56436076	-0.03985742	0.53413894	0.28530441
W_TST_0216	235.61093113	1.75012834	235.61093113	1.35281022	-0.82483632	-0.56454610	-0.03054075	-0.82499126	-0.56465215	-0.02360880	0.39731812	0.15786169
W_TST_0217	235.61093113	1.75012834	235.61093113	0.59657433	-0.82483632	-0.56454610	-0.03054075	-0.82517654	-0.56477896	-0.01041200	1.15355401	1.33068685
W_TST_0218	235.61093113	1.75012834	235.61093113	1.82345049	-0.82483632	-0.56454610	-0.03054075	-0.82480339	-0.56452357	-0.03181984	0.07332215	0.00537614
W_TST_0219	235.61093113	1.75012834	235.61093113	3.54700415	-0.82483632	-0.56454610	-0.03054075	-0.82364046	-0.56372761	-0.06186737	1.79687581	3.22876268
W_TST_0220	235.61093113	1.75012834	235.61093113	0.59657433	-0.82483632	-0.56454610	-0.03054075	-0.82517654	-0.56477896	-0.01041200	1.15355401	1.33068685
W_TST_0221	235.61093113	1.75012834	235.61093113	1.61604705	-0.82483632	-0.56454610	-0.03054075	-0.82489304	-0.56458492	-0.02820160	0.13408129	0.01797779
W_TST_0222	235.61093113	1.75012834	235.61093113	0.76949764	-0.82483632	-0.56454610	-0.03054075	-0.82514685	-0.56475864	-0.01342986	0.98063070	0.96163658
W_TST_0223	235.61093113	1.75012834	235.61093113	1.86742140	-0.82483632	-0.56454610	-0.03054075	-0.82478300	-0.56450961	-0.03258688	0.11729306	0.01375766
W_TST_0224	235.61093113	1.75012834	235.61093113	1.82184073	-0.82483632	-0.56454610	-0.03054075	-0.82480413	-0.56452407	-0.03179176	0.07171239	0.00514267
W_TST_0225	235.61093113	1.75012834	235.61093113	1.50345786	-0.82483632	-0.56454610	-0.03054075	-0.82493718	-0.56461514	-0.02623728	0.24667048	0.06084633
W_TST_0226	235.61093113	1.75012834	235.61093113	1.93336231	-0.82483632	-0.56454610	-0.03054075	-0.82475151	-0.56448805	-0.03373713	0.18323397	0.03357469
W_TST_0227	235.61093113	1.75012834	235.61093113	2.27612803	-0.82483632	-0.56454610	-0.03054075	-0.82457019	-0.56436396	-0.03971548	0.52599969	0.27667567
W_TST_0228	235.61093113	1.75012834	235.61093113	2.82859083	-0.82483632	-0.56454610	-0.03054075	-0.82421585	-0.56412143	-0.04934817	1.07846249	1.16308134
W_TST_0229	235.61093113	1.75012834	235.61093113	4.38923139	-0.82483632	-0.56454610	-0.03054075	-0.82280102	-0.56315307	-0.07653163	2.63910305	6.96486490
W_TST_0230	235.61093113	1.75012834	235.61093113	3.98213137	-0.82483632	-0.56454610	-0.03054075	-0.82322898	-0.56344599	-0.06944536	2.23200303	4.98183752
W_TST_0231	235.61093113	1.75012834	235.61093113	3.00523111	-0.82483632	-0.56454610	-0.03054075	-0.82408639	-0.56403282	-0.05242713	1.25510277	1.57528297
W_TST_0232	235.61093113	1.75012834	235.61093113	2.85627787	-0.82483632	-0.56454610	-0.03054075	-0.82419608	-0.56410790	-0.04983081	1.10614953	1.22356678
W_TST_0233	235.61093113	1.75012834	235.61093113	0.71441350	-0.82483632	-0.56454610	-0.03054075	-0.82515712	-0.56476567	-0.01246854	1.03571484	1.07270523
W_TST_0234	235.61093113	1.75012834	235.61093113	2.15225483	-0.82483632	-0.56454610	-0.03054075	-0.82463912	-0.56441113	-0.03755510	0.40212649	0.16170571
