ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
W_TST_0620	139.26147179	4.65654678	139.26147179	44.72000000	0.65045396	-0.75519470	-0.08118263	0.46371320	-0.53838361	-0.70364278	40.06345322
W_TST_0619	139.26147179	4.65654678	139.26147179	9.90000000	0.65045396	-0.75519470	-0.08118263	0.64289029	-0.74641307	-0.17192910	5.24345322
W_TST_0618	139.26147179	4.65654678	139.26147179	50.77000000	0.65045396	-0.75519470	-0.08118263	0.41273216	-0.47919324	-0.77461345	46.11345322
W_TST_0617	139.26147179	4.65654678	139.26147179	5.92000000	0.65045396	-0.75519470	-0.08118263	0.64912762	-0.75365478	-0.10313975	1.26345322
W_TST_0616	139.26147179	4.65654678	139.26147179	2.38000000	0.65045396	-0.75519470	-0.08118263	0.65204511	-0.75704207	-0.04152689	2.27654678
W_TST_0615	139.26147179	4.65654678	139.26147179	56.59000000	0.65045396	-0.75519470	-0.08118263	0.35934325	-0.41720727	-0.83475177	51.93345322
W_TST_0614	139.26147179	4.65654678	139.26147179	34.71000000	0.65045396	-0.75519470	-0.08118263	0.53647298	-0.62285968	-0.56942301	30.05345322
W_TST_0613	139.26147179	4.65654678	139.26147179	4.73000000	0.65045396	-0.75519470	-0.08118263	0.65038550	-0.75511522	-0.08246034	0.07345322
W_TST_0612	139.26147179	4.65654678	139.26147179	22.21000000	0.65045396	-0.75519470	-0.08118263	0.60418756	-0.70147815	-0.37800238	17.55345322
W_TST_0611	139.26147179	4.65654678	139.26147179	37.91000000	0.65045396	-0.75519470	-0.08118263	0.51489266	-0.59780435	-0.61442291	33.25345322
W_TST_0610	139.26147179	4.65654678	139.26147179	23.94000000	0.65045396	-0.75519470	-0.08118263	0.59646477	-0.69251178	-0.40577976	19.28345322
W_TST_0609	139.26147179	4.65654678	139.26147179	2.36000000	0.65045396	-0.75519470	-0.08118263	0.65205453	-0.75705300	-0.04117812	2.29654678
W_TST_0608	139.26147179	4.65654678	139.26147179	35.38000000	0.65045396	-0.75519470	-0.08118263	0.53209090	-0.61777197	-0.57899660	30.72345322
W_TST_0607	139.26147179	4.65654678	139.26147179	9.38000000	0.65045396	-0.75519470	-0.08118263	0.64388211	-0.74756460	-0.16298157	4.72345322
W_TST_0606	139.26147179	4.65654678	139.26147179	44.49000000	0.65045396	-0.75519470	-0.08118263	0.46555282	-0.54051946	-0.70078477	39.83345322
W_TST_0605	139.26147179	4.65654678	139.26147179	17.22000000	0.65045396	-0.75519470	-0.08118263	0.62335496	-0.72373202	-0.29604149	12.56345322
W_TST_0604	139.26147179	4.65654678	139.26147179	31.37000000	0.65045396	-0.75519470	-0.08118263	0.55721208	-0.64693835	-0.52056264	26.71345322
W_TST_0603	139.26147179	4.65654678	139.26147179	3.66000000	0.65045396	-0.75519470	-0.08118263	0.65127702	-0.75615029	-0.06383562	0.99654678
W_TST_0602	139.26147179	4.65654678	139.26147179	52.30000000	0.65045396	-0.75519470	-0.08118263	0.39908747	-0.46335139	-0.79122353	47.64345322
W_TST_0601	139.26147179	4.65654678	139.26147179	4.88000000	0.65045396	-0.75519470	-0.08118263	0.65024239	-0.75494906	-0.08506913	0.22345322
W_TST_0600	139.26147179	4.65654678	139.26147179	38.49000000	0.65045396	-0.75519470	-0.08118263	0.51080729	-0.59306112	-0.62237804	33.83345322
W_TST_0599	139.26147179	4.65654678	139.26147179	11.09000000	0.65045396	-0.75519470	-0.08118263	0.64042142	-0.74354665	-0.19235070	6.43345322
W_TST_0598	139.26147179	4.65654678	139.26147179	7.41000000	0.65045396	-0.75519470	-0.08118263	0.64715791	-0.75136790	-0.12896867	2.75345322
W_TST_0597	139.26147179	4.65654678	139.26147179	2.59000000	0.65045396	-0.75519470	-0.08118263	0.65194140	-0.75692166	-0.04518863	2.06654678
