D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
219.92760372	51.91773218	219.92760372	67.42850421	-0.39586912	-0.47299089	-0.78712595	-0.24635329	-0.29434694	-0.92340129	15.51077203
219.92760372	51.91773218	219.92760372	87.72406651	-0.39586912	-0.47299089	-0.78712595	-0.02548798	-0.03045345	-0.99921116	35.80633433
219.92760372	51.91773218	219.92760372	48.42362637	-0.39586912	-0.47299089	-0.78712595	-0.42592262	-0.50889931	-0.74807180	3.49410582
219.92760372	51.91773218	219.92760372	82.57939114	-0.39586912	-0.47299089	-0.78712595	-0.08289241	-0.09904121	-0.99162477	30.66165896
219.92760372	51.91773218	219.92760372	40.39343357	-0.39586912	-0.47299089	-0.78712595	-0.48881755	-0.58404720	-0.64803262	11.52429861
219.92760372	51.91773218	219.92760372	78.48004559	-0.39586912	-0.47299089	-0.78712595	-0.12817719	-0.15314820	-0.97985521	26.56231341
219.92760372	51.91773218	219.92760372	46.76894169	-0.39586912	-0.47299089	-0.78712595	-0.43960900	-0.52525202	-0.72859745	5.14879050
219.92760372	51.91773218	219.92760372	81.08093424	-0.39586912	-0.47299089	-0.78712595	-0.09950708	-0.11889269	-0.98790833	29.16320206
219.92760372	51.91773218	219.92760372	78.45445870	-0.39586912	-0.47299089	-0.78712595	-0.12845803	-0.15348375	-0.97976593	26.53672652
219.92760372	51.91773218	219.92760372	81.91332073	-0.39586912	-0.47299089	-0.78712595	-0.09028538	-0.10787445	-0.99005639	29.99558854
219.92760372	51.91773218	219.92760372	44.47107311	-0.39586912	-0.47299089	-0.78712595	-0.45800486	-0.54723170	-0.70054908	7.44665908
219.92760372	51.91773218	219.92760372	56.10594992	-0.39586912	-0.47299089	-0.78712595	-0.35791617	-0.42764410	-0.83007020	4.18821773
219.92760372	51.91773218	219.92760372	83.41013907	-0.39586912	-0.47299089	-0.78712595	-0.07365604	-0.08800544	-0.99339309	31.49240688
219.92760372	51.91773218	219.92760372	50.93643348	-0.39586912	-0.47299089	-0.78712595	-0.40446301	-0.48325902	-0.77644729	0.98129870
219.92760372	51.91773218	219.92760372	81.04421934	-0.39586912	-0.47299089	-0.78712595	-0.09991337	-0.11937812	-0.98780878	29.12648716
