ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
W_TST_0159	235.58779538	59.62049371	235.58779538	60.93356653	-0.41721984	-0.28580694	-0.86269461	-0.40080097	-0.27455957	-0.87405699	1.31307282
W_TST_0158	235.58779538	59.62049371	235.58779538	62.20344747	-0.41721984	-0.28580694	-0.86269461	-0.38472187	-0.26354495	-0.88460904	2.58295376
W_TST_0157	235.58779538	59.62049371	235.58779538	57.03365940	-0.41721984	-0.28580694	-0.86269461	-0.44891692	-0.30752031	-0.83899038	2.58683431
W_TST_0156	235.58779538	59.62049371	235.58779538	61.56275602	-0.41721984	-0.28580694	-0.86269461	-0.39285835	-0.26911866	-0.87933922	1.94226231
W_TST_0155	235.58779538	59.62049371	235.58779538	62.77584866	-0.41721984	-0.28580694	-0.86269461	-0.37741191	-0.25853743	-0.88922362	3.15535495
W_TST_0154	235.58779538	59.62049371	235.58779538	57.19993938	-0.41721984	-0.28580694	-0.86269461	-0.44690629	-0.30614297	-0.84056603	2.42055433
W_TST_0153	235.58779538	59.62049371	235.58779538	67.55891941	-0.41721984	-0.28580694	-0.86269461	-0.31492724	-0.21573373	-0.92427257	7.93842570
W_TST_0152	235.58779538	59.62049371	235.58779538	60.54062693	-0.41721984	-0.28580694	-0.86269461	-0.40573681	-0.27794076	-0.87070464	0.92013322
W_TST_0151	235.58779538	59.62049371	235.58779538	57.12425286	-0.41721984	-0.28580694	-0.86269461	-0.44782195	-0.30677022	-0.83984971	2.49624085
W_TST_0150	235.58779538	59.62049371	235.58779538	60.41029377	-0.41721984	-0.28580694	-0.86269461	-0.40736977	-0.27905938	-0.86958366	0.78980006
W_TST_0149	235.58779538	59.62049371	235.58779538	60.13218490	-0.41721984	-0.28580694	-0.86269461	-0.41084716	-0.28144148	-0.86717663	0.51169119
W_TST_0148	235.58779538	59.62049371	235.58779538	56.17868341	-0.41721984	-0.28580694	-0.86269461	-0.45919509	-0.31456113	-0.83077744	3.44181030
W_TST_0147	235.58779538	59.62049371	235.58779538	59.73026949	-0.41721984	-0.28580694	-0.86269461	-0.41585546	-0.28487231	-0.86366197	0.10977578
W_TST_0146	235.58779538	59.62049371	235.58779538	57.49978621	-0.41721984	-0.28580694	-0.86269461	-0.44327108	-0.30365276	-0.84338944	2.12070750
W_TST_0145	235.58779538	59.62049371	235.58779538	60.57869376	-0.41721984	-0.28580694	-0.86269461	-0.40525947	-0.27761377	-0.87103120	0.95820005
W_TST_0144	235.58779538	59.62049371	235.58779538	57.93391120	-0.41721984	-0.28580694	-0.86269461	-0.43798647	-0.30003265	-0.84743629	1.68658251
W_TST_0143	235.58779538	59.62049371	235.58779538	58.33841161	-0.41721984	-0.28580694	-0.86269461	-0.43303984	-0.29664407	-0.85116320	1.28208210
W_TST_0142	235.58779538	59.62049371	235.58779538	56.86249774	-0.41721984	-0.28580694	-0.86269461	-0.45098263	-0.30893538	-0.83736109	2.75799597
W_TST_0141	235.58779538	59.62049371	235.58779538	59.63071113	-0.41721984	-0.28580694	-0.86269461	-0.41709291	-0.28572000	-0.86278478	0.01021742
W_TST_0140	235.58779538	59.62049371	235.58779538	58.42606915	-0.41721984	-0.28580694	-0.86269461	-0.43196502	-0.29590780	-0.85196526	1.19442456
