ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d	MSFT d
W_TST_0133	234.68832102	0.00000000	233.66777833	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.80559522	-0.59246632	0.00000000	1.02054269	1.04150739
W_TST_0134	234.68832102	0.00000000	232.93883775	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.79799263	-0.60266721	0.00000000	1.74948327	3.06069172
W_TST_0135	234.68832102	0.00000000	232.49840240	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.79333637	-0.60878355	0.00000000	2.18991863	4.79574360
W_TST_0136	234.68832102	0.00000000	233.11695563	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.79986231	-0.60018355	0.00000000	1.57136539	2.46918919
W_TST_0137	234.68832102	0.00000000	234.80550003	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.81720023	-0.57635387	0.00000000	0.11717901	0.01373092
W_TST_0138	234.68832102	0.00000000	233.55655187	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.80444357	-0.59402908	0.00000000	1.13176916	1.28090142
W_TST_0139	234.68832102	0.00000000	234.38645907	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.81296316	-0.58231512	0.00000000	0.30186195	0.09112064
W_TST_0140	234.68832102	0.00000000	236.08191337	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.82983618	-0.55800709	0.00000000	1.39359235	1.94209963
W_TST_0141	234.68832102	0.00000000	235.70898932	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.82618670	-0.56339643	0.00000000	1.02066829	1.04176377
W_TST_0142	234.68832102	0.00000000	235.40765031	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.82321218	-0.56773383	0.00000000	0.71932928	0.51743462
W_TST_0143	234.68832102	0.00000000	234.42393139	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.81334383	-0.58178330	0.00000000	0.26438963	0.06990188
W_TST_0144	234.68832102	0.00000000	233.45380166	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.80337699	-0.59547075	0.00000000	1.23451937	1.52403807
W_TST_0145	234.68832102	0.00000000	232.94721548	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.79808074	-0.60255052	0.00000000	1.74110555	3.03144852
W_TST_0146	234.68832102	0.00000000	235.44631585	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.82359512	-0.56717817	0.00000000	0.75799482	0.57455615
W_TST_0147	234.68832102	0.00000000	236.19207590	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.83090752	-0.55641054	0.00000000	1.50375487	2.26127872
W_TST_0148	234.68832102	0.00000000	235.81147520	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.82719313	-0.56191772	0.00000000	1.12315417	1.26147529
W_TST_0149	234.68832102	0.00000000	237.46037582	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.84301966	-0.53788275	0.00000000	2.77205480	7.68428781
W_TST_0150	234.68832102	0.00000000	236.29395441	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.83189557	-0.55493221	0.00000000	1.60563339	2.57805858
W_TST_0151	234.68832102	0.00000000	235.83097454	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.82738432	-0.56163617	0.00000000	1.14265351	1.30565705
W_TST_0152	234.68832102	0.00000000	233.87023802	0.00000000	-0.81601978	-0.57802397	0.00000000	-0.80768372	-0.58961598	0.00000000	0.81808301	0.66925980
