ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d	MSFT d
W_TST_0132	41.62171090	0.00000000	42.04000000	0.00000000	0.66420953	0.74754646	0.00000000	0.66964926	0.74267750	0.00000000	0.41828910	0.17496577
W_TST_0133	41.62171090	0.00000000	45.53000000	0.00000000	0.66420953	0.74754646	0.00000000	0.71361735	0.70053571	0.00000000	3.90828910	15.27472369
W_TST_0134	41.62171090	0.00000000	47.56000000	0.00000000	0.66420953	0.74754646	0.00000000	0.73798441	0.67481776	0.00000000	5.93828910	35.26327744
W_TST_0135	41.62171090	0.00000000	51.33000000	0.00000000	0.66420953	0.74754646	0.00000000	0.78075768	0.62483394	0.00000000	9.70828910	94.25087726
W_TST_0136	41.62171090	0.00000000	46.69000000	0.00000000	0.66420953	0.74754646	0.00000000	0.72765305	0.68594536	0.00000000	5.06828910	25.68755441
W_TST_0137	41.62171090	0.00000000	40.88000000	0.00000000	0.66420953	0.74754646	0.00000000	0.65447693	0.75608197	0.00000000	0.74171090	0.55013506
W_TST_0138	41.62171090	0.00000000	44.95000000	0.00000000	0.66420953	0.74754646	0.00000000	0.70648944	0.70772358	0.00000000	3.32828910	11.07750834
W_TST_0139	41.62171090	0.00000000	42.91000000	0.00000000	0.66420953	0.74754646	0.00000000	0.68084871	0.73242408	0.00000000	1.28828910	1.65968881
W_TST_0140	41.62171090	0.00000000	33.91000000	0.00000000	0.66420953	0.74754646	0.00000000	0.55788996	0.82991493	0.00000000	7.71171090	59.47048500
W_TST_0141	41.62171090	0.00000000	33.62000000	0.00000000	0.66420953	0.74754646	0.00000000	0.55368226	0.83272802	0.00000000	8.00171090	64.02737732
W_TST_0142	41.62171090	0.00000000	38.85000000	0.00000000	0.66420953	0.74754646	0.00000000	0.62728367	0.77879085	0.00000000	2.77171090	7.68238131
W_TST_0143	41.62171090	0.00000000	41.75000000	0.00000000	0.66420953	0.74754646	0.00000000	0.66588167	0.74605738	0.00000000	0.12828910	0.01645809
W_TST_0144	41.62171090	0.00000000	46.69000000	0.00000000	0.66420953	0.74754646	0.00000000	0.72765305	0.68594536	0.00000000	5.06828910	25.68755441
W_TST_0145	41.62171090	0.00000000	48.43000000	0.00000000	0.66420953	0.74754646	0.00000000	0.74814562	0.66353458	0.00000000	6.80828910	46.35280048
W_TST_0146	41.62171090	0.00000000	37.98000000	0.00000000	0.66420953	0.74754646	0.00000000	0.61538637	0.78822561	0.00000000	3.64171090	13.26205828
W_TST_0147	41.62171090	0.00000000	31.01000000	0.00000000	0.66420953	0.74754646	0.00000000	0.51518767	0.85707740	0.00000000	10.61171090	112.60840822
