ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
W_TST_0569	247.60817193	0.00000000	233.79353588	0.00000000	-0.92460038	-0.38093851	0.00000000	-0.80689367	-0.59069671	0.00000000	13.81463605
W_TST_0568	247.60817193	0.00000000	285.03459956	0.00000000	-0.92460038	-0.38093851	0.00000000	-0.96576936	0.25940230	0.00000000	37.42642763
W_TST_0567	247.60817193	0.00000000	251.54942959	0.00000000	-0.92460038	-0.38093851	0.00000000	-0.94859704	-0.31648641	0.00000000	3.94125766
W_TST_0566	247.60817193	0.00000000	14.63578421	0.00000000	-0.92460038	-0.38093851	0.00000000	0.25267369	0.96755155	0.00000000	127.02761229
W_TST_0564	247.60817193	0.00000000	219.86810651	0.00000000	-0.92460038	-0.38093851	0.00000000	-0.64102249	-0.76752209	0.00000000	27.74006542
W_TST_0565	247.60817193	0.00000000	235.62742098	0.00000000	-0.92460038	-0.38093851	0.00000000	-0.82538379	-0.56457205	0.00000000	11.98075094
W_TST_0563	247.60817193	0.00000000	29.88092722	0.00000000	-0.92460038	-0.38093851	0.00000000	0.49819914	0.86706264	0.00000000	142.27275530
W_TST_0562	247.60817193	0.00000000	237.06020921	0.00000000	-0.92460038	-0.38093851	0.00000000	-0.83924244	-0.54375742	0.00000000	10.54796272
W_TST_0561	247.60817193	0.00000000	231.13140927	0.00000000	-0.92460038	-0.38093851	0.00000000	-0.77858728	-0.62753633	0.00000000	16.47676266
W_TST_0560	247.60817193	0.00000000	188.03867433	0.00000000	-0.92460038	-0.38093851	0.00000000	-0.13984149	-0.99017390	0.00000000	59.56949760
