ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
W_TST_0047	234.13034558	67.82284084	234.13034558	67.39480539	-0.30588495	-0.22117697	-0.92602114	-0.31148234	-0.22522429	-0.92317537	0.42803545
W_TST_0046	234.13034558	67.82284084	234.13034558	68.24446581	-0.30588495	-0.22117697	-0.92602114	-0.30035469	-0.21717820	-0.92877376	0.42162497
W_TST_0045	234.13034558	67.82284084	234.13034558	71.96314958	-0.30588495	-0.22117697	-0.92602114	-0.25090819	-0.18142480	-0.95085757	4.14030874
W_TST_0044	234.13034558	67.82284084	234.13034558	68.57360966	-0.30588495	-0.22117697	-0.92602114	-0.29602615	-0.21404834	-0.93088766	0.75076882
W_TST_0043	234.13034558	67.82284084	234.13034558	73.94931686	-0.30588495	-0.22117697	-0.92602114	-0.22405228	-0.16200602	-0.96101749	6.12647602
W_TST_0042	234.13034558	67.82284084	234.13034558	71.22000352	-0.30588495	-0.22117697	-0.92602114	-0.26088084	-0.18863574	-0.94676171	3.39716268
W_TST_0041	234.13034558	67.82284084	234.13034558	74.66682026	-0.30588495	-0.22117697	-0.92602114	-0.21428268	-0.15494190	-0.96440445	6.84397942
W_TST_0040	234.13034558	67.82284084	234.13034558	68.67295503	-0.30588495	-0.22117697	-0.92602114	-0.29471774	-0.21310227	-0.93151966	0.85011419
W_TST_0039	234.13034558	67.82284084	234.13034558	50.26720262	-0.30588495	-0.22117697	-0.92602114	-0.51798365	-0.37453969	-0.76903378	17.55563822
W_TST_0038	234.13034558	67.82284084	234.13034558	63.21326951	-0.30588495	-0.22117697	-0.92602114	-0.36520203	-0.26406752	-0.89269022	4.60957132
W_TST_0037	234.13034558	67.82284084	234.13034558	66.75395986	-0.30588495	-0.22117697	-0.92602114	-0.31983005	-0.23126029	-0.91881849	1.06888097
W_TST_0036	234.13034558	67.82284084	234.13034558	56.99347522	-0.30588495	-0.22117697	-0.92602114	-0.44142677	-0.31918353	-0.83860854	10.82936561
W_TST_0035	234.13034558	67.82284084	234.13034558	63.00577103	-0.30588495	-0.22117697	-0.92602114	-0.36781942	-0.26596008	-0.89105225	4.81706981
W_TST_0034	234.13034558	67.82284084	234.13034558	71.18158984	-0.30588495	-0.22117697	-0.92602114	-0.26139515	-0.18900763	-0.94654566	3.35874900
W_TST_0033	234.13034558	67.82284084	234.13034558	68.36076447	-0.30588495	-0.22117697	-0.92602114	-0.29882638	-0.21607312	-0.92952418	0.53792364
W_TST_0032	234.13034558	67.82284084	234.13034558	69.25345197	-0.30588495	-0.22117697	-0.92602114	-0.28705483	-0.20756143	-0.93515655	1.43061113
W_TST_0031	234.13034558	67.82284084	234.13034558	70.54640233	-0.30588495	-0.22117697	-0.92602114	-0.26988236	-0.19514449	-0.94291152	2.72356149
W_TST_0030	234.13034558	67.82284084	234.13034558	71.68109655	-0.30588495	-0.22117697	-0.92602114	-0.25469826	-0.18416529	-0.94932183	3.85825571
W_TST_0029	234.13034558	67.82284084	234.13034558	65.57103047	-0.30588495	-0.22117697	-0.92602114	-0.33513312	-0.24232552	-0.91047467	2.25181037
W_TST_0028	234.13034558	67.82284084	234.13034558	68.62925891	-0.30588495	-0.22117697	-0.92602114	-0.29529334	-0.21351847	-0.93124202	0.80641808
W_TST_0027	234.13034558	67.82284084	234.13034558	71.23447231	-0.30588495	-0.22117697	-0.92602114	-0.26068709	-0.18849565	-0.94684298	3.41163148
W_TST_0026	234.13034558	67.82284084	234.13034558	68.13529397	-0.30588495	-0.22117697	-0.92602114	-0.30178822	-0.21821474	-0.92806584	0.31245313
W_TST_0025	234.13034558	67.82284084	234.13034558	66.37517065	-0.30588495	-0.22117697	-0.92602114	-0.32474544	-0.23481448	-0.91618915	1.44767019
W_TST_0024	234.13034558	67.82284084	234.13034558	70.54132640	-0.30588495	-0.22117697	-0.92602114	-0.26995005	-0.19519344	-0.94288201	2.71848557
W_TST_0023	234.13034558	67.82284084	234.13034558	67.57895656	-0.30588495	-0.22117697	-0.92602114	-0.30907632	-0.22348457	-0.92440601	0.24388428
W_TST_0022	234.13034558	67.82284084	234.13034558	69.44362076	-0.30588495	-0.22117697	-0.92602114	-0.28453804	-0.20574161	-0.93632713	1.62077993
