ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
W_TST_0036	44.67683124	10.93574912	44.67683124	22.60000000	0.69033917	0.69817095	-0.18970809	0.64911577	0.65647987	-0.38429532	11.66425088
W_TST_0035	44.67683124	10.93574912	44.67683124	16.65000000	0.69033917	0.69817095	-0.18970809	0.67362797	0.68127016	-0.28652455	5.71425088
W_TST_0034	44.67683124	10.93574912	44.67683124	8.42000000	0.69033917	0.69817095	-0.18970809	0.69552862	0.70341927	-0.14642834	2.51574912
W_TST_0033	44.67683124	10.93574912	44.67683124	11.26000000	0.69033917	0.69817095	-0.18970809	0.68957326	0.69739635	-0.19526150	0.32425088
W_TST_0032	44.67683124	10.93574912	44.67683124	10.36000000	0.69033917	0.69817095	-0.18970809	0.69164464	0.69949123	-0.17983244	0.57574912
W_TST_0031	44.67683124	10.93574912	44.67683124	9.04000000	0.69033917	0.69817095	-0.18970809	0.69437385	0.70225140	-0.15712396	1.89574912
W_TST_0030	44.67683124	10.93574912	44.67683124	8.07000000	0.69033917	0.69817095	-0.18970809	0.69614456	0.70404220	-0.14038284	2.86574912
W_TST_0029	44.67683124	10.93574912	44.67683124	14.22000000	0.69033917	0.69817095	-0.18970809	0.68156378	0.68929600	-0.24564577	3.28425088
W_TST_0028	44.67683124	10.93574912	44.67683124	11.06000000	0.69033917	0.69817095	-0.18970809	0.69004829	0.69787677	-0.19183685	0.12425088
W_TST_0027	44.67683124	10.93574912	44.67683124	8.38000000	0.69033917	0.69817095	-0.18970809	0.69560033	0.70349179	-0.14573770	2.55574912
W_TST_0026	44.67683124	10.93574912	44.67683124	11.46000000	0.69033917	0.69817095	-0.18970809	0.68908983	0.69690743	-0.19868377	0.52425088
W_TST_0025	44.67683124	10.93574912	44.67683124	13.81000000	0.69033917	0.69817095	-0.18970809	0.68278224	0.69052829	-0.23870295	2.87425088
W_TST_0024	44.67683124	10.93574912	44.67683124	9.11000000	0.69033917	0.69817095	-0.18970809	0.69423836	0.70211437	-0.15833040	1.82574912
W_TST_0023	44.67683124	10.93574912	44.67683124	12.01000000	0.69033917	0.69817095	-0.18970809	0.68771711	0.69551915	-0.20808241	1.07425088
W_TST_0022	44.67683124	10.93574912	44.67683124	10.21000000	0.69033917	0.69817095	-0.18970809	0.69197329	0.69982361	-0.17725651	0.72574912
W_TST_0021	44.67683124	10.93574912	44.67683124	6.11000000	0.69033917	0.69817095	-0.18970809	0.69911314	0.70704445	-0.10643761	4.82574912
W_TST_0020	44.67683124	10.93574912	44.67683124	10.41000000	0.69033917	0.69817095	-0.18970809	0.69153404	0.69937937	-0.18069081	0.52574912
W_TST_0019	44.67683124	10.93574912	44.67683124	12.01000000	0.69033917	0.69817095	-0.18970809	0.68771711	0.69551915	-0.20808241	1.07425088
W_TST_0018	44.67683124	10.93574912	44.67683124	12.72000000	0.69033917	0.69817095	-0.18970809	0.68585138	0.69363225	-0.22018672	1.78425088
W_TST_0017	44.67683124	10.93574912	44.67683124	11.29000000	0.69033917	0.69817095	-0.18970809	0.68950128	0.69732355	-0.19577499	0.35425088
W_TST_0016	44.67683124	10.93574912	44.67683124	7.95000000	0.69033917	0.69817095	-0.18970809	0.69634976	0.70424972	-0.13830888	2.98574912
W_TST_0015	44.67683124	10.93574912	44.67683124	7.25000000	0.69033917	0.69817095	-0.18970809	0.69748584	0.70539870	-0.12619897	3.68574912
W_TST_0014	44.67683124	10.93574912	44.67683124	11.08000000	0.69033917	0.69817095	-0.18970809	0.69000116	0.69782911	-0.19217942	0.14425088
W_TST_0013	44.67683124	10.93574912	44.67683124	8.10000000	0.69033917	0.69817095	-0.18970809	0.69609278	0.70398983	-0.14090123	2.83574912
